country,PobUnemp2019,mensualsalary2019,Porcentpobreza2019,PBIpercapita2019,Infla2019,hdi_2019,GINI2019,CPI2019,caldemo2019,protestnumber
Angola,7.4210000038147,3445473.46759301,31.1,2177.79901475964,17.0812152138993,0.595,51.3,26,0.366,1
Albania,11.4700002670288,1472812241.61037,0.4,5396.21586434732,1.41109078954248,0.81,33.2,35,0.488,17
Armenia,18.2999992370605,1527937456.87278,1,4604.64632355695,1.44344660770702,0.778,34.4,42,0.807,2
Azerbaijan,4.84999990463257,1275168754.82216,0.1,4805.75371765917,2.61057182799216,0.761,33.7,30,0.192,1
Burundi,1.58899998664856,48328631.779466,65.1,223.862875707709,-0.686772170797229,0.431,38.6,19,0.158,1
Belgium,5.3600001335144,12178118946.1038,0.1,46599.1113350938,1.43681956996435,0.936,27.4,75,0.889,6
Benin,1.47000002861023,216993145.183506,19.9,1219.51550596905,-0.70502663454275,0.53,47.8,41,0.488,27
Burkina Faso,4.69299983978271,467251841.7327,30.5,796.115206827676,-3.23338933983321,0.452,35.3,40,0.708,2
Bangladesh,4.43800020217896,18363859531.2812,13.5,2154.22681857606,5.59199639930633,0.644,32.4,26,0.256,5
Bulgaria,4.23000001907349,2342370000,0.9,9879.26853313318,3.10372944796774,0.81,40.4,43,0.623,2
Bosnia,15.6899995803833,2332570551.4136,0.1,6119.76235142981,0.562782154061303,0.783,33,36,0.521,8
Belarus,4.15999984741211,1418800000,0,6837.71782606351,5.59815595039851,0.817,25.2,45,0.257,3
Bolivia,3.8199999332428,1335620196.92987,1.9,3552.06814383653,1.83954504969032,0.717,42.2,31,0.553,14
Brazil,11.9300003051758,3213621676.71,5.4,8876.05983587779,3.73297621216894,0.766,53.9,35,0.676,3
Botswana,22.6100006103516,59360104.1407768,15.4,7247.42947645351,2.7728644286333,0.717,53.3,61,0.672,1
Central African Republic,5.6230001449585,0,61.9,468.117514792315,2.68537355266785,0.411,43.6,25,0.389,1
Canada,5.65999984741211,1311782569.26068,0.2,46328.6718408497,1.94926902411596,0.937,33.3,77,0.851,5
Switzerland,4.3899998664856,2549309963.18163,0,85334.5194620909,0.362886179940635,0.962,32.7,85,0.897,3
Chile,7.28999996185303,69372771.3618018,0.3,14699.4627808048,2.55754475703323,0.861,44.4,67,0.83,15
China,4.51999998092651,18294313104.25,0.1,10143.8381955595,2.89923416358227,0.762,38.5,41,0.076,56
Cameroon,3.63800001144409,355550645.811703,25.7,1533.09568807789,2.45280214062733,0.583,46.5,25,0.293,5
Democratic Republic of the Congo,4.45100021362305,2076317927.82742,69.7,596.56057010511,2.88585107290009,0.482,42.1,18,0.348,11
Congo,20.6219997406006,26242892.954918,35.4,2369.72944099031,2.20607305781519,0.57,48.9,19,0.24,1
Colombia,9.96000003814697,7115322398.74071,5.3,6418.61578254492,3.52549273618952,0.768,50.4,37,0.663,5
Comoros,8.08199977874756,168546815.838786,18.6,1404.43318720472,-4.29487331536753,0.56,45.3,25,0.338,3
Cape Verde,12.2189998626709,241314283.947866,4.6,3603.77524058463,1.1066667429606,0.676,42.4,58,0.757,1
Costa Rica,11.4899997711182,553377977.061178,1.1,12762.1380073688,2.09604635327805,0.819,48,56,0.899,1
Cyprus,7.07000017166138,535182398.093839,0.2,29206.076171875,0.250370996758456,0.897,31.4,58,0.85,3
Czech Republic,2.00999999046326,3859937090.42623,0,23660.1488068317,2.84787595918047,0.897,24.9,56,0.808,8
Germany,3.14000010490417,18729702718.9933,0,46794.8992915603,1.4456670146976,0.948,31.9,80,0.878,4
Djibouti,26.3570003509521,79461628.0574608,19.1,3172.75068492992,3.31925372703833,0.512,41.6,30,0.255,1
Denmark,5.01999998092651,1451438646.96199,0.3,59775.7350964515,0.758131572511619,0.946,28.7,87,0.911,1
Dominican Republic,6.3600001335144,7420600000,0.8,8282.11713050921,1.8106037704296,0.771,43.7,28,0.509,1
Algeria,10.5129995346069,1785838683.22299,0.5,3989.66827645236,1.95176821052894,0.748,27.6,35,0.293,66
Ecuador,3.80999994277954,3242684316.95308,3.6,6222.52465327248,0.266012515466136,0.76,45.4,38,0.655,12
Egypt,7.84000015258789,26781400000,2.5,3019.09228346646,9.15279959324812,0.735,31.5,35,0.179,4
Spain,14.1000003814697,3212474500.45992,0.8,29554.4905170087,0.699518994458693,0.908,34.7,62,0.874,17
Estonia,4.44999980926514,541915243.762818,0.6,23397.8782560944,2.27725931243518,0.896,30.4,74,0.889,1
Ethiopia,2.32599997520447,479624165.264604,27,855.760885186903,15.8096321719345,0.498,35,37,0.337,2
Finland,6.69000005722046,797176578.300856,0,48628.641762105,1.02409392963429,0.939,27.4,86,0.875,1
France,8.40999984741211,30024725081.0684,0,40578.6442850534,1.10825492288292,0.905,31.6,69,0.874,28
Gabon,20.742000579834,18458042.25,2.5,7766.99655422948,2.46456756151187,0.709,38,31,0.386,1
United Kingdom,3.74000000953674,4214814558.37469,0.3,43070.4983595888,1.73810460086511,0.935,34.8,77,0.87,32
Georgia,11.5699996948242,2258211424.72,4.8,4696.15058555612,4.85289821696731,0.81,36.4,56,0.65,2
Ghana,4.31599998474121,4053694728.81049,25.3,2246.62557816432,7.14364003330856,0.631,43.5,41,0.723,1
Guinea,5.01999998092651,158130000,13.8,1052.58809075877,9.47077937313535,0.467,33.7,29,0.362,11
Gambia,9.4980001449585,275825107.455024,13.4,772.505588308894,7.11567625631191,0.503,35.9,37,0.52,1
Guinea Bissau,6.03599977493286,151185244.870505,21.7,749.453747028806,0.246600268147853,0.49,50.7,18,0.534,4
Greece,17.3099994659424,676327504.794212,0.7,19133.7577636254,0.25300752203812,0.889,34.4,48,0.855,5
Guatemala,2.19000005722046,10655601360,9.5,4638.63494319511,3.69998398008601,0.642,48.3,26,0.576,4
